shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
ikenshoIraiRirekiNo,int2,int,,,,,主治医意見書作成依頼履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
shindamMei1,varchar,RString,,,,,意見書・診断名1,A
hasshoYMD1,UDD015YMD,FlexibleDate,,,,,意見書・発症年月日1,A
shindamMei2,varchar,RString,,,,,意見書・診断名2,A
hasshoYMD2,UDD015YMD,FlexibleDate,,,,,意見書・発症年月日2,A
shindamMei3,varchar,RString,,,,,意見書・診断名3,A
hasshoYMD3,UDD015YMD,FlexibleDate,,,,,意見書・発症年月日3,A
anteisei,bpchar,RString,,,,,意見書・症状としての安定性,A
kinyuItem01,text,RString,,,,,記入項目01,A
kinyuItem02,text,RString,,,,,記入項目02,A
kinyuItem03,text,RString,,,,,記入項目03,A
kinyuItem04,text,RString,,,,,記入項目04,A
kinyuItem05,text,RString,,,,,記入項目05,A
kinyuItem06,text,RString,,,,,記入項目06,A
kinyuItem07,text,RString,,,,,記入項目07,A
kinyuItem08,text,RString,,,,,記入項目08,A
kinyuItem09,text,RString,,,,,記入項目09,A
kinyuItem10,text,RString,,,,,記入項目10,A
kinyuItem11,text,RString,,,,,記入項目11,A
kinyuItem12,text,RString,,,,,記入項目12,A
kinyuItem13,text,RString,,,,,記入項目13,A
kinyuItem14,text,RString,,,,,記入項目14,A
kinyuItem15,text,RString,,,,,記入項目15,A
kinyuItem16,text,RString,,,,,記入項目16,A
kinyuItem17,text,RString,,,,,記入項目17,A
kinyuItem18,text,RString,,,,,記入項目18,A
kinyuItem19,text,RString,,,,,記入項目19,A
kinyuItem20,text,RString,,,,,記入項目10,A
kinyuItem21,text,RString,,,,,記入項目21,A
kinyuItem22,text,RString,,,,,記入項目22,A
kinyuItem23,text,RString,,,,,記入項目23,A
kinyuItem24,text,RString,,,,,記入項目24,A
kinyuItem25,text,RString,,,,,記入項目25,A
kinyuItem26,text,RString,,,,,記入項目26,A
kinyuItem27,text,RString,,,,,記入項目27,A
kinyuItem28,text,RString,,,,,記入項目28,A
kinyuItem29,text,RString,,,,,記入項目29,A
kinyuItem30,text,RString,,,,,記入項目30,A
tokkiJiko,text,RString,,,,,特記事項,A
kinyuItem01ImageSharedFileId,timestamp,RDateTime,,,,,記入項目01イメージ共有ファイルID,A
kinyuItem02ImageSharedFileId,timestamp,RDateTime,,,,,記入項目02イメージ共有ファイルID,A
kinyuItem03ImageSharedFileId,timestamp,RDateTime,,,,,記入項目03イメージ共有ファイルID,A
kinyuItem04ImageSharedFileId,timestamp,RDateTime,,,,,記入項目04イメージ共有ファイルID,A
kinyuItem05ImageSharedFileId,timestamp,RDateTime,,,,,記入項目05イメージ共有ファイルID,A
kinyuItem06ImageSharedFileId,timestamp,RDateTime,,,,,記入項目06イメージ共有ファイルID,A
kinyuItem07ImageSharedFileId,timestamp,RDateTime,,,,,記入項目07イメージ共有ファイルID,A
kinyuItem08ImageSharedFileId,timestamp,RDateTime,,,,,記入項目08イメージ共有ファイルID,A
kinyuItem09ImageSharedFileId,timestamp,RDateTime,,,,,記入項目09イメージ共有ファイルID,A
kinyuItem10ImageSharedFileId,timestamp,RDateTime,,,,,記入項目10イメージ共有ファイルID,A
kinyuItem11ImageSharedFileId,timestamp,RDateTime,,,,,記入項目11イメージ共有ファイルID,A
kinyuItem12ImageSharedFileId,timestamp,RDateTime,,,,,記入項目12イメージ共有ファイルID,A
kinyuItem13ImageSharedFileId,timestamp,RDateTime,,,,,記入項目13イメージ共有ファイルID,A
kinyuItem14ImageSharedFileId,timestamp,RDateTime,,,,,記入項目14イメージ共有ファイルID,A
kinyuItem15ImageSharedFileId,timestamp,RDateTime,,,,,記入項目15イメージ共有ファイルID,A
kinyuItem16ImageSharedFileId,timestamp,RDateTime,,,,,記入項目16イメージ共有ファイルID,A
kinyuItem17ImageSharedFileId,timestamp,RDateTime,,,,,記入項目17イメージ共有ファイルID,A
kinyuItem18ImageSharedFileId,timestamp,RDateTime,,,,,記入項目18イメージ共有ファイルID,A
kinyuItem19ImageSharedFileId,timestamp,RDateTime,,,,,記入項目19イメージ共有ファイルID,A
kinyuItem20ImageSharedFileId,timestamp,RDateTime,,,,,記入項目20イメージ共有ファイルID,A
kinyuItem21ImageSharedFileId,timestamp,RDateTime,,,,,記入項目21イメージ共有ファイルID,A
kinyuItem22ImageSharedFileId,timestamp,RDateTime,,,,,記入項目22イメージ共有ファイルID,A
kinyuItem23ImageSharedFileId,timestamp,RDateTime,,,,,記入項目23イメージ共有ファイルID,A
kinyuItem24ImageSharedFileId,timestamp,RDateTime,,,,,記入項目24イメージ共有ファイルID,A
kinyuItem25ImageSharedFileId,timestamp,RDateTime,,,,,記入項目25イメージ共有ファイルID,A
kinyuItem26ImageSharedFileId,timestamp,RDateTime,,,,,記入項目26イメージ共有ファイルID,A
kinyuItem27ImageSharedFileId,timestamp,RDateTime,,,,,記入項目27イメージ共有ファイルID,A
kinyuItem28ImageSharedFileId,timestamp,RDateTime,,,,,記入項目28イメージ共有ファイルID,A
kinyuItem29ImageSharedFileId,timestamp,RDateTime,,,,,記入項目29イメージ共有ファイルID,A
kinyuItem30ImageSharedFileId,timestamp,RDateTime,,,,,記入項目30イメージ共有ファイルID,A
tokkiJikoImageSharedFileId,timestamp,RDateTime,,,,,特記事項イメージ共有ファイルID,A
