hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
tekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,適用開始年月日,A
tekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,適用終了年月日,A
kyokaisoSochiKetteiYMD,UDD015YMD,FlexibleDate,,,,,境界層措置決定年月日,A
kyuufugakuGengakuKisaiKiajoFlag,varchar,RString,,,,,給付額減額記載解除フラグ,A
hyojunFutanGengakuGaitoFlag,varchar,RString,,,,,標準負担額額該当フラグ,A
hyojunFutanKeigengoFutangaku,numeric,Decimal,,,,,標準負担軽減後負担額,A
kyojuhinadoFutangakugengakuGaitoFlag,varchar,RString,,,,,居住費等負担額減額該当フラグ,A
kyojuhiKeigengoKyoshitsuShuruiCode,varchar,RString,,,,,居住費軽減後居室種類コード,A
kyojuhiKeigengoHutangaku,numeric,Decimal,,,,,居住費軽減後負担額,A
shokuhiKeigengoHutangakuGaitoFlag,varchar,RString,,,,,食費負担額減額該当フラグ,A
shokuhiKeigengoHutangaku,numeric,Decimal,,,,,食費軽減後負担額,A
kogakuServicehiJogengakuGengakuGaitoFlag,varchar,RString,,,,,高額ｻｰﾋﾞｽ費上限額減額該当フラグ,A
kogakuServicehiJogengakuGengakugoJogengaku,numeric,Decimal,,,,,高額ｻｰﾋﾞｽ費減額後上限額,A
hokenryoNofuGengakuFlag,varchar,RString,,,,,保険料納付減額フラグ,A
