shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,申請書管理番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
shoKisaiHokenshaNo,varchar,RString,,,,,証記載保険者番号,A
shinseiNendo,UDD012YSeireki,FlexibleYear,,,,,申請年度,A
hihokenshaNo,varchar,RString,,,,,被保険者番号,A
ninteiShinseiYMD,UDD015YMD,FlexibleDate,,,,,認定申請年月日,A
ninteiShinseiEdabanCode,UDD025EdabanCode,EdabanCode,,,,,認定申請枝番コード,A
ninteiShinseiHoreiKubunCode,UDD035Code,Code,,,,,認定申請区分（法令）コード,A
ninteiShinseiShinseijiKubunCode,UDD035Code,Code,,,,,認定申請区分（申請時）コード,A
torisageKubunCode,UDD035Code,Code,,,,,取下区分コード,A
hihokenshaKubunCode,bpchar,RString,,,,,被保険者区分コード,A
seinengappiYMD,UDD015YMD,FlexibleDate,,,,,生年月日,A
age,int2,int,,,,,年齢,A
seibetsu,UDD035Code,Code,,,,,性別,A
hihokenshaKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,被保険者氏名カナ,A
hihokenshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,被保険者氏名,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jusho,UDD046AtenaJusho,AtenaJusho,,,,,住所,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
shishoCode,varchar,RString,,,,,支所コード,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
chikuCode,UDD011ChikuCode,ChikuCode,,,,,地区コード,A
minashiNigoEtcTaishoFlag,bool,boolean,,,,,みなし２号等対象フラグ,A
koikinaiTenkyoKubun,UDD035Code,Code,,,,,広域内転居区分,A
ninteiShinseiYukoKubunCode,UDD035Code,Code,,,,,認定申請有効区分,A
shienShinseiKubun,bpchar,RString,,,,,要介護申請・要支援申請の区分,A
ninteiShinseiRiyu,text,RString,,,,,認定申請理由,A
shinseiServiceDeleteRiyu,text,RString,,,,,申請サービス削除の理由,A
