shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaRirekiNo,int2,int,,,,,認定調査依頼履歴番号,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,厚労省IF識別コード,A
ninteichousaIraiKubunCode,UDD035Code,Code,,,,,認定調査依頼区分コード,A
ninteichosaIraiKaisu,int2,int,,,,,認定調査回数,A
ninteichosaJisshiYMD,UDD015YMD,FlexibleDate,,,,,認定調査実施年月日,A
ninteichosaJuryoYMD,UDD015YMD,FlexibleDate,,,,,認定調査受領年月日,A
chosaItakuKubunCode,UDD035Code,Code,,,,,調査委託区分コード,A
ninteiChosaKubunCode,UDD035Code,Code,,,,,認定調査区分コード,A
chosaItakusakiCode,DbUDD004JigyoshaNo,JigyoshaNo,,,,,認定調査委託先コード,A
chosainCode,varchar,RString,,,,,認定調査員コード,A
chosaJisshiBashoCode,UDD035Code,Code,,,,,認定調査実施場所コード,A
chosaJisshiBashoMeisho,varchar,RString,,,,,認定調査実施場所名称,A
jisshiBashoImageSharedFileId,timestamp,RDateTime,,,,,実施場所イメージ共有ファイルID,A
serviceKubunCode,UDD035Code,Code,,,,,認定調査・サービス区分コード,A
riyoShisetsuShimei,varchar,RString,,,,,利用施設名,A
riyoShisetsuJusho,UDD046AtenaJusho,AtenaJusho,,,,,利用施設住所,A
riyoShisetsuTelNo,UDD026TelNo,TelNo,,,,,利用施設電話番号,A
riyoShisetsuYubinNo,UDD003YubinNo,YubinNo,,,,,利用施設郵便番号,A
riyoShisetsuNameImageSharedFileId,timestamp,RDateTime,,,,,利用施設名イメージ共有ファイルID,A
riyoShisetsuJushoImageSharedFileId,timestamp,RDateTime,,,,,利用施設住所イメージ共有ファイルID,A
riyoShisetsuTelNoImageSharedFileId,timestamp,RDateTime,,,,,利用施設電話番号イメージ共有ファイルID,A
tokki,text,RString,,,,,特記,A
tokkiImageSharedFileId,timestamp,RDateTime,,,,,特記イメージ共有ファイルID,A
tokkijikoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,認定調査特記事項受付年月日,A
tokkijikoJuryoYMD,UDD015YMD,FlexibleDate,,,,,認定調査特記事項受領年月日,A
