hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,hihokenshaNo,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,shoKisaiHokenshaNo,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,uketsukeYMD,A
rirekiNo,int2,int,,,,,rirekiNo,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,shinseiYMD,A
jigyoshaKeiyakuNo,varchar,RString,,,,,jigyoshaKeiyakuNo,A
keiyakuServiceShurui,varchar,RString,,,,,keiyakuServiceShurui,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,ketteiYMD,A
shoninKekkaKubun,varchar,RString,,,,,shoninKekkaKubun,A
juryoininKaishiYMD,UDD015YMD,FlexibleDate,,,,,juryoininKaishiYMD,A
juryoininShuryoYMD,UDD015YMD,FlexibleDate,,,,,juryoininShuryoYMD,A
keiyakuNo,varchar,RString,,,,,keiyakuNo,A
fuShoninRiyu,varchar,RString,,,,,fuShoninRiyu,A
hiyoGakuGokei,numeric,Decimal,,,,,hiyoGakuGokei,A
hokenTaishoHiyoGaku,numeric,Decimal,,,,,hokenTaishoHiyoGaku,A
riyoshaJikoFutanGaku,numeric,Decimal,,,,,riyoshaJikoFutanGaku,A
hokenKyufuhiGaku,numeric,Decimal,,,,,hokenKyufuhiGaku,A
shoninKekkaTsuchiSakuseiYMD,UDD015YMD,FlexibleDate,,,,,shoninKekkaTsuchiSakuseiYMD,A
shoninKekkaTsuchiSaiHakkoKubun,varchar,RString,,,,,shoninKekkaTsuchiSaiHakkoKubun,A
