hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
junjiNo,varchar,RString,,,,,順次番号,A
rirekiNo,int2,int,,,,,履歴番号,A
kinkyuShobyoName1,varchar,RString,,,,,緊急時傷病名１,A
kinkyuShobyoName2,varchar,RString,,,,,緊急時傷病名２,A
kinkyuShobyoName3,varchar,RString,,,,,緊急時傷病名３,A
kinkyuChiryoKaishiYMD1,UDD015YMD,FlexibleDate,,,,,緊急時治療開始年月日１,A
kinkyuChiryoKaishiYMD2,UDD015YMD,FlexibleDate,,,,,緊急時治療開始年月日２,A
kinkyuChiryoKaishiYMD3,UDD015YMD,FlexibleDate,,,,,緊急時治療開始年月日３,A
oshinNissu,int2,int,,,,,往診日数,A
oshinIryoKikanName,varchar,RString,,,,,往診医療機関名,A
tsuinNissu,int2,int,,,,,通院日数,A
tsuinKikanName,varchar,RString,,,,,通院医療機関名,A
kinkyuChiryoKanriTanisu,int4,int,,,,,緊急時治療管理単位数,A
kinkyuChiryoKanriNissu,int2,int,,,,,緊急時治療管理日数,A
kinkyuChiryoKanriSubTotal,int4,int,,,,,緊急時治療管理小計,A
rehabilitationTanisu,int4,int,,,,,リハビリテーション単位数,A
shochiTanisu,int4,int,,,,,処置単位数,A
shujutsuTanisu,int4,int,,,,,手術単位数,A
masuiTanisu,int4,int,,,,,麻酔単位数,A
hoshasenChiryoTanisu,int4,int,,,,,放射線治療単位数,A
tekiyo1,varchar,RString,,,,,摘要１,A
tekiyo2,varchar,RString,,,,,摘要２,A
tekiyo3,varchar,RString,,,,,摘要３,A
tekiyo4,varchar,RString,,,,,摘要４,A
tekiyo5,varchar,RString,,,,,摘要５,A
tekiyo6,varchar,RString,,,,,摘要６,A
tekiyo7,varchar,RString,,,,,摘要７,A
tekiyo8,varchar,RString,,,,,摘要８,A
tekiyo9,varchar,RString,,,,,摘要９,A
tekiyo10,varchar,RString,,,,,摘要１０,A
tekiyo11,varchar,RString,,,,,摘要１１,A
tekiyo12,varchar,RString,,,,,摘要１２,A
tekiyo13,varchar,RString,,,,,摘要１３,A
tekiyo14,varchar,RString,,,,,摘要１４,A
tekiyo15,varchar,RString,,,,,摘要１５,A
tekiyo16,varchar,RString,,,,,摘要１６,A
tekiyo17,varchar,RString,,,,,摘要１７,A
tekiyo18,varchar,RString,,,,,摘要１８,A
tekiyo19,varchar,RString,,,,,摘要１９,A
tekiyo20,varchar,RString,,,,,摘要２０,A
kinkyuShisetsuRyoyohiTotalTanisu,int4,int,,,,,緊急時施設療養費合計単位数,A
shoteiShikkanShobyoName1,varchar,RString,,,,,所定疾患施設療養費傷病名１,A
shoteiShikkanShobyoName2,varchar,RString,,,,,所定疾患施設療養費傷病名２,A
shoteiShikkanShobyoName3,varchar,RString,,,,,所定疾患施設療養費傷病名３,A
shoteiShikkanShobyoKaishiYMD1,UDD015YMD,FlexibleDate,,,,,所定疾患施設療養費開始年月日１,A
shoteiShikkanShobyoKaishiYMD2,UDD015YMD,FlexibleDate,,,,,所定疾患施設療養費開始年月日２,A
shoteiShikkanShobyoKaishiYMD3,UDD015YMD,FlexibleDate,,,,,所定疾患施設療養費開始年月日３,A
shoteiShikkanTanisu,int4,int,,,,,所定疾患施設療養費単位数,A
shoteiShikkanNissu,int2,int,,,,,所定疾患施設療養費日数,A
shoteiShikkanSubTotal,int4,int,,,,,所定疾患施設療養費小計,A
