hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNo,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
junjiNo,varchar,RString,,,,,順次番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shobyoName,varchar,RString,,,,,傷病名,A
shikibetsuNo,varchar,RString,,,,,識別番号,A
tanisu,int2,int,,,,,単位数,A
kaisu,int2,int,,,,,回数,A
serviceTanisu,int4,int,,,,,サービス単位数,A
totalTanisu,int4,int,,,,,合計単位数,A
tekiyo,varchar,RString,,,,,摘要,A
