hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
seiriNp,varchar,RString,,,,,整理番号,A
jigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業者番号,A
yoshikiNo,varchar,RString,,,,,様式番号,A
meisaiNo,varchar,RString,,,,,明細番号,A
renban,varchar,RString,,,,,連番,A
sagakuKingaku,int4,int,,,,,差額金額,A
shikyuKubunCode,varchar,RString,,,,,支給区分コード,A
tensuKingaku,int4,int,,,,,点数／金額,A
shikyuKingaku,int4,int,,,,,支給金額,A
shikyuFushikyuRiyu,varchar,RString,,,,,支給・不支給理由,A
