hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
shinseiRiyu,varchar,RString,,,,,申請理由,A
shinseishaKubun,varchar,RString,,,,,申請者区分,A
shinseishaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,申請者氏名,A
shinseishaShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,申請者氏名カナ,A
shinseishaJusho,varchar,RString,,,,,申請者住所,A
shinseishaTelNo,UDD026TelNo,TelNo,,,,,申請者電話番号,A
shinseiJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,申請事業者番号,A
shiharaiHohoKubunCode,varchar,RString,,,,,支払方法区分コード,A
shiharaiBasho,varchar,RString,,,,,支払場所,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,支払期間開始年月日,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,支払期間終了年月日,A
heichoNaiyo,varchar,RString,,,,,閉庁内容,A
shiharaiKaishiTime,varchar,RString,,,,,支払窓口開始時間,A
shiharaiShuryoTime,varchar,RString,,,,,支払窓口終了時間,A
kozaID,int8,long,,,,,口座ID,A
juryoininKeiyakuNo,varchar,RString,,,,,受領委任契約番号,A
