kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,KokanShikibetsuNo,,,,,交換情報識別番号,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,NyuryokuShikibetsuNo,,,,,入力識別番号,A
recodeShubetsuCode,varchar,RString,,,,,レコード種別コード,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hiHokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,サービス提供年月,A
jigyoshoNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,事業所番号,A
toshiNo,varchar,RString,,,,,通し番号,A
recodeJunjiNo,varchar,RString,,,,,緊急時施設療養情報レコード順次番号,A
kinkyuShobyoName1,varchar,RString,,,,,緊急時傷病名１,A
kinkyuShobyoName2,varchar,RString,,,,,緊急時傷病名２,A
kinkyuShobyoName3,varchar,RString,,,,,緊急時傷病名３,A
kinkyuChiryoKaishiYMD1,UDD015YMD,FlexibleDate,,,,,緊急時治療開始年月日１,A
kinkyuChiryoKaishiYMD2,UDD015YMD,FlexibleDate,,,,,緊急時治療開始年月日２,A
kinkyuChiryoKaishiYMD3,UDD015YMD,FlexibleDate,,,,,緊急時治療開始年月日３,A
oshinNissu,int2,int,,,,,往診日数,A
oshinIryoKikanName,varchar,RString,,,,,往診医療機関名,A
tsuinNissu,int2,int,,,,,通院日数,A
tsuinIryoKikanName,varchar,RString,,,,,通院医療機関名,A
kinkyuChiryoKanriTanisu,int4,int,,,,,緊急時治療管理単位数,A
kinkyuChiryoKanriNissu,int2,int,,,,,緊急時治療管理日数,A
kinkyuChiryoKanriSubTotal,int4,int,,,,,緊急時治療管理小計,A
rehabilitationTensu,int4,int,,,,,リハビリテーション点数,A
shochiTensu,int4,int,,,,,処置点数,A
shujutsuTensu,int4,int,,,,,手術点数,A
masuiTensu,int4,int,,,,,麻酔点数,A
hoshasenChiryoTensu,int4,int,,,,,放射線治療点数,A
tekiyo1,varchar,RString,,,,,摘要１,A
tekiyo2,varchar,RString,,,,,摘要２,A
tekiyo3,varchar,RString,,,,,摘要３,A
tekiyo4,varchar,RString,,,,,摘要４,A
tekiyo5,varchar,RString,,,,,摘要５,A
tekiyo6,varchar,RString,,,,,摘要６,A
tekiyo7,varchar,RString,,,,,摘要７,A
tekiyo8,varchar,RString,,,,,摘要８,A
tekiyo9,varchar,RString,,,,,摘要９,A
tekiyo10,varchar,RString,,,,,摘要１０,A
tekiyo11,varchar,RString,,,,,摘要１１,A
tekiyo12,varchar,RString,,,,,摘要１２,A
tekiyo13,varchar,RString,,,,,摘要１３,A
tekiyo14,varchar,RString,,,,,摘要１４,A
tekiyo15,varchar,RString,,,,,摘要１５,A
tekiyo16,varchar,RString,,,,,摘要１６,A
tekiyo17,varchar,RString,,,,,摘要１７,A
tekiyo18,varchar,RString,,,,,摘要１８,A
tekiyo19,varchar,RString,,,,,摘要１９,A
tekiyo20,varchar,RString,,,,,摘要２０,A
kinkyuShisetsuRyoyoHiTotalTensu,int4,int,,,,,緊急時施設療養費合計点数,A
atoOshinNissu,int2,int,,,,,後・往診日数,A
atoTsuinNissu,int2,int,,,,,後・通院日数,A
atoKinkyuChiryoKanriTanisu,int4,int,,,,,後・緊急時治療管理単位数,A
atoKinkyuChiryoKanriNissu,int2,int,,,,,後・緊急時治療管理日数,A
atoRehabilitationTensu,int4,int,,,,,後・リハビリテーション点数,A
atoShochiTensu,int4,int,,,,,後・処置点数,A
atoShujutsuTensu,int4,int,,,,,後・手術点数,A
atoMasuiTensu,int4,int,,,,,後・麻酔点数,A
atoHoshasenChiryoTensu,int4,int,,,,,後・放射線治療点数,A
saishinsaKaisu,int2,int,,,,,再審査回数,A
kagoKaisu,int2,int,,,,,過誤回数,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,審査年月,A
seiriNo,varchar,RString,,,,,整理番号,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,取込年月,A
