shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
kanriKubun,varchar,RString,,,,,管理区分,A
rirekiNo,int2,int,,,,,履歴番号,A
johoBunruiKubun,varchar,RString,,,,,情報分類区分,A
renNo,int2,int,,,,,連番,A
sashitomeKojoJotaiKubun,varchar,RString,,,,,差止控除状態区分,A
sashitome_KetteiYMD,UDD015YMD,FlexibleDate,,,,,差止決定年月日,A
sashitome_TsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,差止通知書発行年月日,A
sashitome_TsuchiSaiHakkoFlag,bool,boolean,,,,,差止通知書再発行フラグ,A
sashitomeKojoNo,varchar,RString,,,,,差止控除番号,A
sashitome_NofuYMD,UDD015YMD,FlexibleDate,,,,,差止納付期限,A
sashitome_KaijoYMD,UDD015YMD,FlexibleDate,,,,,差止解除年月日,A
sashitome_ServiceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,差止サービス提供年月,A
sashitome_ShokanSeiriNo,varchar,RString,,,,,差止償還整理番号,A
kojo_KetteiYMD,UDD015YMD,FlexibleDate,,,,,控除決定年月日,A
kojo_TsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,控除通知書発行年月日,A
kojo_TsuchiSaiHakkoYMD,bool,boolean,,,,,控除通知書再発行フラグ,A
kojo_ShoTeishutsuYMD,UDD015YMD,FlexibleDate,,,,,控除被保険者証提出期限,A
